SalaryID,JobID,Amount,Annual,Bonus
1,1,45000,540000,5000
2,2,55000,660000,7000
3,3,40000,480000,4000
4,4,48000,576000,6000
5,5,47000,564000,4500
6,6,65000,780000,10000
7,7,80000,960000,12000
8,8,42000,504000,3500
9,9,55000,660000,7000
10,10,48000,576000,5500
11,11,52000,624000,6000
12,12,90000,1080000,15000
13,13,60000,720000,8000
14,14,38000,456000,3000
15,15,55000,660000,6000
16,16,53000,636000,5500
17,17,47000,564000,4500
18,18,60000,720000,7500
19,19,95000,1140000,15000
20,20,115000,1380000,20000
21,21,95000,1140000,15000
22,22,105000,1260000,18000
23,23,85000,1020000,12000
24,24,95000,1140000,13000
25,25,72000,864000,8500
26,26,105000,1260000,15000
27,27,98000,1176000,13000
28,28,120000,1440000,20000
29,29,130000,1560000,22000
30,30,105000,1260000,15000
31,31,115000,1380000,18000
32,32,95000,1140000,14000
33,33,120000,1440000,20000
34,34,135000,1620000,25000
35,35,150000,1800000,30000
36,36,150000,1800000,28000
37,37,170000,2040000,35000
38,38,160000,1920000,33000
39,39,140000,1680000,28000
40,40,50000,600000,6000
41,41,48000,576000,5000
42,42,45000,540000,4500
43,43,32000,384000,3000
44,44,38000,456000,4000
45,45,42000,504000,3500
46,46,33000,396000,3000
47,47,35000,420000,3500
48,48,34000,408000,3200
49,49,31000,372000,3000
50,50,40000,480000,4500
51,51,42000,504000,4000
52,52,35000,420000,3500
53,53,46000,552000,5500
54,54,38000,456000,4000
55,55,44000,528000,4500
56,56,47000,564000,5000
57,57,43000,516000,4000
58,58,48000,576000,5000
59,59,45000,540000,4500
60,60,70000,840000,10000
